transactionId,userId,amount,log_amount,hour,dow,is_night,cnt_60s,cnt_300s,cnt_3600s,cnt_86400s,sum_60s,sum_300s,sum_3600s,sum_86400s,is_new_device,is_new_payee,is_new_city,mean_amt_30d,std_amt_30d,z_amt_30d,ch_mobile,ch_ussd,ch_web,is_fraud
TXNuser_0000-167047879,user_0000,9262.23,9.133808078914461,23,0,1,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,,,,False,True,False,0
TXNuser_0000-343248183,user_0000,2382.69,7.776404986173097,16,1,0,0,0,0,1,0.0,0.0,0.0,9262.23,0,0,0,9262.23,0.0,,False,True,False,0
TXNuser_0000-764465223,user_0000,28060.22,10.24214383097217,0,2,1,0,0,0,1,0.0,0.0,0.0,2382.69,1,1,0,5822.46,4864.569385444101,4.571372764574074,False,True,False,1
TXNuser_0000-80174260,user_0000,5292.35,8.57420659474267,14,2,0,0,0,0,2,0.0,0.0,0.0,30442.91,0,1,0,13235.046666666667,13291.777192137752,-0.5975646861854462,False,True,False,0
TXNuser_0000-808852085,user_0000,7984.52,8.985385180632706,6,3,0,0,0,0,1,0.0,0.0,0.0,5292.35,0,0,0,11249.3725,11556.4917485783,-0.28251242427457685,False,True,False,0
TXNuser_0000-757730407,user_0000,3128.3,8.048564616350035,16,4,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,10596.401999999998,10114.15980299748,-0.7383808586637831,False,True,False,0
TXNuser_0000-678025238,user_0000,7596.3,8.935548199995623,19,5,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,9351.718333333332,9546.329524841298,-0.18388411260740709,False,False,True,0
TXNuser_0000-782952491,user_0000,338.24,5.8267078214935,22,6,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,9100.944285714286,8739.787536972999,-1.0026221173734875,False,True,False,1
TXNuser_0000-782952491-b975,user_0000,338.24,5.8267078214935,22,6,0,1,1,1,1,338.24,338.24,338.24,338.24,0,0,0,8005.60625,8664.296033126717,-0.8849381670114806,False,True,False,1
TXNuser_0000-782952491-b822,user_0000,338.24,5.8267078214935,22,6,0,2,2,2,2,676.48,676.48,676.48,676.48,0,0,0,7153.676666666666,8498.136776115985,-0.8019918773043818,False,True,False,1
TXNuser_0000-782952491-b892,user_0000,338.24,5.8267078214935,22,6,0,3,3,3,3,1014.72,1014.72,1014.72,1014.72,0,0,0,6472.133,8296.932422328748,-0.7392964878793559,False,True,False,1
TXNuser_0000-782952491-b620,user_0000,338.24,5.8267078214935,22,6,0,4,4,4,4,1352.96,1352.96,1352.96,1352.96,0,0,0,5914.506363636363,8085.517978461581,-0.6896609937038753,False,True,False,1
TXNuser_0000-937888628,user_0000,3197.33,8.070384077563663,22,6,0,0,5,5,5,0.0,1691.2,1691.2,1691.2,0,0,0,5449.817499999999,7875.505914361805,-0.28601178444833036,False,False,True,0
TXNuser_0000-521151729,user_0000,4075.12,8.312900834537315,14,0,0,0,0,0,6,0.0,0.0,0.0,4888.53,0,1,0,5276.549230769229,7566.05876489257,-0.15879195075037042,False,True,False,0
TXNuser_0000-938822481,user_0000,122931.5,11.719390703231625,4,1,1,0,0,0,1,0.0,0.0,0.0,4075.12,1,1,0,5190.732857142856,7276.322363045803,16.18135663433855,False,False,True,1
TXNuser_0000-142120885,user_0000,29289.51,10.285018851756227,4,2,1,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,13040.117333333332,31198.648059382653,0.5208364361089627,False,False,True,1
TXNuser_0000-203535575,user_0000,18520.41,9.826682639211418,9,2,0,0,0,0,1,0.0,0.0,0.0,29289.51,1,0,0,14055.704375,30413.285539572335,0.14680116093313023,False,True,False,1
TXNuser_0000-181521294,user_0000,3964.83,8.28547044381409,15,2,0,0,0,0,2,0.0,0.0,0.0,47809.92,0,0,0,14318.334117647059,29467.439755073323,-0.3513540437751986,False,True,False,0
TXNuser_0000-748859411,user_0000,6747.83,8.817124435509283,7,3,0,0,0,0,2,0.0,0.0,0.0,22485.239999999998,0,1,0,13743.139444444443,28691.585012086827,-0.2438104915255657,False,False,True,0
TXNuser_0000-316613122,user_0000,6953.86,8.847195974751637,20,3,0,0,0,0,1,0.0,0.0,0.0,6747.83,0,0,0,13374.965263157894,27929.354052775005,-0.22990525491655278,False,True,False,0
TXNuser_0000-747042821,user_0000,6794.16,8.823965873033558,21,3,0,0,0,1,2,0.0,0.0,6953.86,13701.689999999999,0,1,0,13053.909999999998,27222.3280875859,-0.229949105743627,False,True,False,0
TXNuser_0000-831281559,user_0000,31057.76,10.343636173175545,4,4,1,0,0,0,3,0.0,0.0,0.0,20495.85,1,0,0,12755.826666666664,26568.182405437397,0.6888665944113547,False,True,False,1
TXNuser_0000-998029831,user_0000,3398.22,8.131301272520643,7,6,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,13587.732727272725,26219.85943176227,-0.3886181294675185,True,False,False,0
TXNuser_0000-175104253,user_0000,7502.67,8.923147513173221,15,6,0,0,0,0,1,0.0,0.0,0.0,3398.22,0,0,0,13144.710434782604,25704.981467500787,-0.2194921028017828,False,True,False,0
TXNuser_0000-927574861,user_0000,5853.19,8.674912923165174,20,6,0,0,0,0,2,0.0,0.0,0.0,10900.89,0,0,0,12909.625416666668,25166.33348989859,-0.2803918743069594,False,False,True,0
TXNuser_0000-85303716,user_0000,10880.3,9.294800998566252,7,0,0,0,0,0,2,0.0,0.0,0.0,13355.86,0,0,0,12627.368,24676.84592895079,-0.07079786472834225,False,True,False,0
TXNuser_0000-301647742,user_0000,4424.33,8.395100130932544,17,0,0,0,0,0,2,0.0,0.0,0.0,16733.489999999998,0,0,0,12560.173076923076,24180.699950601065,-0.33646019732860716,False,False,True,0
TXNuser_0000-287159780,user_0000,55610.92,10.926152845749954,7,1,0,0,0,0,2,0.0,0.0,0.0,15304.63,0,1,0,12258.845555555556,23762.76712848571,1.8243697886714538,False,True,False,1
TXNuser_0000-106791506,user_0000,6401.02,8.764368844548672,14,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,13807.13392857143,24715.92490645182,-0.2996494752514054,False,False,True,0
TXNuser_0000-933090198,user_0000,5020.83,8.521549688089214,7,3,0,0,0,0,1,0.0,0.0,0.0,6401.02,0,0,0,13551.750689655173,24309.490073438537,-0.3509296436857957,False,True,False,0
TXNuser_0000-110034852,user_0000,3779.95,8.237730579788684,2,4,1,0,0,0,1,0.0,0.0,0.0,5020.83,0,0,0,13267.386666666667,23937.409284634494,-0.39634350375404603,False,True,False,0
TXNuser_0000-606409804,user_0000,4297.46,8.36601209799949,22,4,0,0,0,0,1,0.0,0.0,0.0,3779.95,0,0,0,12961.340322580647,23596.677162784665,-0.36716526919497067,False,True,False,0
TXNuser_0000-867623140,user_0000,2352.36,7.763599373199737,0,5,1,0,0,0,2,0.0,0.0,0.0,8077.41,0,0,0,12690.5940625,23263.436840638293,-0.4443983979375054,False,True,False,0
TXNuser_0000-816752194,user_0000,39071.84,10.573182875450835,7,6,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,12377.314242424241,22967.67608116174,1.162264987682877,False,True,False,0
TXNuser_0000-824839526,user_0000,3202.84,8.0721053693633,7,6,0,0,0,1,1,0.0,0.0,39071.84,39071.84,0,0,0,13162.447352941175,23075.69334825786,-0.43160598481835405,False,False,True,0
TXNuser_0000-285435362,user_0000,5541.63,8.62022439633493,14,6,0,0,0,0,2,0.0,0.0,0.0,42274.67999999999,0,0,0,12877.887142857142,22796.05954484853,-0.321821283561044,False,False,True,0
TXNuser_0000-175466829,user_0000,4226.55,8.349377908023905,7,0,0,0,0,0,3,0.0,0.0,0.0,47816.30999999999,0,0,0,12674.102222222222,22501.28688163922,-0.37542529308025147,False,False,True,0
TXNuser_0000-318673105,user_0000,6249.25,8.740376741930469,10,0,0,0,0,0,2,0.0,0.0,0.0,9768.18,0,0,0,12445.789999999999,22229.990600582183,-0.2787468565028416,False,True,False,0
TXNuser_0000-182316911,user_0000,16362.41,9.702803023644963,15,0,0,0,0,0,2,0.0,0.0,0.0,10475.8,0,0,0,12282.723157894736,21950.5562408329,0.18585801641400515,False,True,False,1
TXNuser_0000-50204865,user_0000,2954.55,7.9914400377325565,18,0,0,0,0,0,3,0.0,0.0,0.0,26838.21,0,0,0,12387.330512820512,21669.65686763102,-0.4352990252887066,False,True,False,0
TXNuser_0000-100014028,user_0000,112063.32,11.626828271152583,20,0,0,0,0,0,4,0.0,0.0,0.0,29792.76,0,1,0,12151.511,21441.970589340133,4.65963744254323,False,True,False,1
TXNuser_0000-779698063,user_0000,6246.49,8.73993506206757,1,1,1,0,0,0,5,0.0,0.0,0.0,141856.08000000002,0,0,0,14588.384390243902,26300.88551567238,-0.31717161710289443,False,True,False,0
TXNuser_0000-514708647,user_0000,15549.6,9.651854502071993,13,4,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,14389.767857142857,26010.03254853737,0.04459172208619034,False,True,False,0
TXNuser_0000-267196854,user_0000,31942.37,10.371719926535052,14,4,0,0,0,0,1,0.0,0.0,0.0,15549.6,1,0,0,14416.740697674419,25699.132580714097,0.6819541183844345,False,True,False,1
TXNuser_0000-368144298,user_0000,10522.18,9.261335721982714,17,4,0,0,0,0,2,0.0,0.0,0.0,47491.97,0,0,0,14815.050454545453,25535.599637379564,-0.16811316419064842,False,True,False,0
